"doy","NEE_gCm2day","NEE_unc_gCm2day","GPP_gCm2day","GPP_unc_gCm2day","Reco_gCm2day","Reco_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","LAI_m2m2","LAI_unc_m2m2","Cwood_stock_gCm2","Cwood_stock_unc_gCm2"
30,0.283404303776947,0.58,-9999,1,-9999,1,0.125951231627198,1,-9999,-9999,-9999,-9999
58,0.484348870899605,0.58,-9999,1,-9999,1,0.186649690388021,1,-9999,-9999,-9999,-9999
89,0.326752973843745,0.58,-9999,1,-9999,1,0.3778343102892,1,-9999,-9999,-9999,-9999
119,-0.908662007499739,0.58,-9999,1,-9999,1,1.15492748130857,1,1.400000073,0.199999996,-9999,-9999
150,-2.80994680932202,0.58,-9999,1,-9999,1,1.91818787172948,1,1.866666764,0.403333324,-9999,-9999
180,-2.06560996694216,0.58,-9999,1,-9999,1,2.41187945787811,1,3.200000167,0.768333316,4860,663
211,-1.79285266335775,0.58,-9999,1,-9999,1,2.21565768343778,1,4.144444661,0.641666652,-9999,-9999
242,-0.522336114038254,0.58,-9999,1,-9999,1,1.00241244517967,1,3.588889076,0.591666653,-9999,-9999
272,0.582533430009651,0.58,-9999,1,-9999,1,0.245809042637041,1,3.322222395,0.46499999,-9999,-9999
303,0.906366732582082,0.58,-9999,1,-9999,1,0.0346517420217496,1,1.111111169,0.669999985,-9999,-9999
333,0.734748425875862,0.58,-9999,1,-9999,1,0.076861697294881,1,-9999,-9999,-9999,-9999
364,0.457563784651388,0.58,-9999,1,-9999,1,0.029117845110894,1,-9999,-9999,-9999,-9999
30,0.488331584068075,0.58,-9999,1,-9999,1,0.107875663003745,1,-9999,-9999,-9999,-9999
58,0.350027775142476,0.58,-9999,1,-9999,1,0.223239666701291,1,-9999,-9999,-9999,-9999
89,-0.958869416030908,0.58,-9999,1,-9999,1,0.58308225316474,1,-9999,-9999,-9999,-9999
119,-2.51623338996505,0.58,-9999,1,-9999,1,1.40435923170732,1,1.650000086,0.257499994,-9999,-9999
150,-2.73375214365656,0.58,-9999,1,-9999,1,1.74729902363892,1,2.200000115,0.456666656,-9999,-9999
180,-2.30091217880995,0.58,-9999,1,-9999,1,1.84734286223631,1,3.411111289,0.708333318,5455,663
211,-1.13328507547899,0.58,-9999,1,-9999,1,1.49512685400372,1,-9999,-9999,-9999,-9999
242,0.415309963981149,0.58,-9999,1,-9999,1,0.716893803912368,1,3.688889081,0.523333322,-9999,-9999
272,0.45266054313155,0.58,-9999,1,-9999,1,0.252885725404619,1,2.833333481,0.453333323,-9999,-9999
303,0.635346867874237,0.58,-9999,1,-9999,1,0.0955149180312606,1,1.77777787,0.45499999,-9999,-9999
333,0.57803264002417,0.58,-9999,1,-9999,1,0.0779659522218156,1,-9999,-9999,-9999,-9999
364,0.478300284966601,0.58,-9999,1,-9999,1,0.0935234103093603,1,-9999,-9999,-9999,-9999
