"run_day","LAI_m2m2","LAI_unc_m2m2","NEE_gCm2day","NEE_unc_gCm2day"
3652,-9999,-9999,-0.589975,0.58
3683,-9999,-9999,0.227001,0.58
3711,-9999,-9999,0.752042,0.58
3742,-9999,-9999,-0.198896,0.58
3772,-9999,-9999,-0.119781,0.58
3803,4.82222247372071,0.76380100333588,1.11526,0.58
3833,5.00000026077032,0.76380100333588,1.51322,0.58
3864,5.13333360105753,0.76380100333588,1.003,0.58
3895,5.62222251544396,0.76380100333588,-0.686389,0.58
3925,5.78333363495767,0.76380100333588,-2.07118,0.58
3956,6.06666698306799,0.76380100333588,-1.81614,0.58
3986,-9999,-9999,-1.57203,0.58
4017,5.36666694656014,0.76380100333588,-1.73075,0.58
4048,-9999,-9999,-9999,-9999
4077,-9999,-9999,-9999,-9999
4108,-9999,-9999,-9999,-9999
4138,-9999,-9999,-9999,-9999
4169,-9999,-9999,-9999,-9999
4199,4.80000025033951,0.76380100333588,-9999,-9999
4230,5.05000026337802,0.76380100333588,-9999,-9999
4261,5.22222249458234,0.76380100333588,-9999,-9999
4291,4.7222224685053,0.76380100333588,-9999,-9999
4322,4.82222247372071,0.76380100333588,-9999,-9999
4352,4.97777803738912,0.76380100333588,-9999,-9999
4383,5.10000026598573,0.76380100333588,-9999,-9999
4414,-9999,-9999,-9999,-9999
4442,-9999,-9999,-9999,-9999
4473,-9999,-9999,-9999,-9999
4503,-9999,-9999,-9999,-9999
4534,4.90000025555491,0.76380100333588,-9999,-9999
4564,4.76666691526771,0.76380100333588,-9999,-9999
4595,4.6555557983617,0.76380100333588,-9999,-9999
4626,5.21666693873703,0.76380100333588,-9999,-9999
4656,-9999,-9999,-9999,-9999
4687,2.76666681095958,0.76380100333588,-9999,-9999
4717,-9999,-9999,-9999,-9999
4748,-9999,-9999,-9999,-9999
4779,-9999,-9999,-9999,-9999
4807,-9999,-9999,-9999,-9999
4838,-9999,-9999,-9999,-9999
4868,-9999,-9999,-9999,-9999
4899,-9999,-9999,-9999,-9999
4929,5.66666696220636,0.76380100333588,-9999,-9999
4960,4.97777803738912,0.76380100333588,-9999,-9999
4991,5.57777806868156,0.76380100333588,-9999,-9999
5021,5.83333363756537,0.76380100333588,-9999,-9999
5052,-9999,-9999,-9999,-9999
5082,-9999,-9999,-9999,-9999
5113,-9999,-9999,-9999,-9999
5144,-9999,-9999,-9999,-9999
5172,-9999,-9999,-9999,-9999
5203,-9999,-9999,-9999,-9999
5233,-9999,-9999,-9999,-9999
5264,-9999,-9999,-9999,-9999
5294,5.06666693091393,0.76380100333588,-9999,-9999
5325,5.45000028423965,0.76380100333588,-9999,-9999
5356,5.34444472317894,0.76380100333588,-9999,-9999
5386,5.65000029467046,0.76380100333588,-9999,-9999
5417,5.32222249979774,0.76380100333588,-9999,-9999
5447,5.23333360627294,0.76380100333588,-9999,-9999
5478,-9999,-9999,-9999,-9999
5509,4.25000022165477,0.76380100333588,-9999,-9999
5538,-9999,-9999,-9999,-9999
5569,-9999,-9999,-9999,-9999
5599,-9999,-9999,-9999,-9999
5630,-9999,-9999,-9999,-9999
5660,5.38333361409605,0.76380100333588,-9999,-9999
5691,5.45555584008495,0.76380100333588,-9999,-9999
5722,5.65000029467046,0.76380100333588,-9999,-9999
5752,5.31666694395244,0.76380100333588,-9999,-9999
5783,5.23333360627294,0.76380100333588,-9999,-9999
5813,5.06666693091393,0.76380100333588,-9999,-9999
5844,-9999,-9999,-9999,-9999
5875,-9999,-9999,-9999,-9999
5903,-9999,-9999,-9999,-9999
5934,-9999,-9999,-9999,-9999
5964,-9999,-9999,-9999,-9999
5995,-9999,-9999,-9999,-9999
6025,5.58888918037216,0.76380100333588,-9999,-9999
6056,5.73333363234997,0.76380100333588,-9999,-9999
6087,5.80000030249357,0.76380100333588,-9999,-9999
6117,5.13333360105753,0.76380100333588,-9999,-9999
6148,4.6833335775882,0.76380100333588,-9999,-9999
6178,3.0666668266058,0.76380100333588,-9999,-9999
6209,-9999,-9999,-9999,-9999
