"day","mint","maxt","sw_rad_MJm2day","co2","doy","vpd","precip"
1750.1562,8.6268243,13.927471,8.288516,377,289.15625,0.53698419,0.0001381409375
1780.5938,2.9006654,8.6926696,7.0681745,378.35,319.59375,0.47213075,3.84555173611111e-05
1811.0312,-4.3910136,-0.13488958,5.6586677,380.11,350.03125,0.23208607,3.93927291666667e-05
1841.4688,-2.1020681,2.2712075,5.6503428,381.38,15.21875,0.24713489,4.88383726851852e-05
1871.9062,-5.1757695,0.051540614,10.680473,382.19,45.65625,0.29399135,2.35640277777778e-05
1902.3438,-1.5454896,5.2910716,15.730131,382.67,76.09375,0.49230795,1.24692974537037e-05
1932.7812,5.7889759,13.218212,18.995038,384.61,106.53125,0.87062818,3.26772037037037e-05
1963.2188,10.485976,16.704676,16.904935,385.03,136.96875,0.79977313,6.97255949074074e-05
1993.6562,16.317695,21.765375,16.87807,384.05,167.40625,0.89431394,7.5720505787037e-05
2024.0938,19.975146,27.187275,21.792257,382.46,197.84375,1.5599824,4.24147314814815e-05
2054.5312,17.425909,24.065488,18.486008,380.41,228.28125,1.2609376,4.18180231481482e-05
2084.9688,13.22143,19.891625,14.018892,378.85,258.71875,0.93197693,2.21522511574074e-05
2115.4062,6.7624387,13.7503,10.466033,379.13,289.15625,0.67635391,6.49824965277778e-05
2145.8438,4.8227556,10.121389,6.1198023,380.15,319.59375,0.43345406,3.83234884259259e-05
2176.2812,0.7007095,4.996775,5.3255554,381.82,350.03125,0.33601256,2.42554189814815e-05
